time_local,time_utc,timestamp_ms,price_eur_per_mwh,resolution,source
2025-01-02T13:00+01:00,2025-01-02T12:00+00:00,1735819200000,113.900000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T13:15+01:00,2025-01-02T12:15+00:00,1735820100000,113.900000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T13:30+01:00,2025-01-02T12:30+00:00,1735821000000,113.900000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T13:45+01:00,2025-01-02T12:45+00:00,1735821900000,113.900000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T14:00+01:00,2025-01-02T13:00+00:00,1735822800000,122.210000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T14:15+01:00,2025-01-02T13:15+00:00,1735823700000,122.210000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T14:30+01:00,2025-01-02T13:30+00:00,1735824600000,122.210000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T14:45+01:00,2025-01-02T13:45+00:00,1735825500000,122.210000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T15:00+01:00,2025-01-02T14:00+00:00,1735826400000,130.110000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T15:15+01:00,2025-01-02T14:15+00:00,1735827300000,130.110000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T15:30+01:00,2025-01-02T14:30+00:00,1735828200000,130.110000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T15:45+01:00,2025-01-02T14:45+00:00,1735829100000,130.110000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T16:00+01:00,2025-01-02T15:00+00:00,1735830000000,138.590000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T16:15+01:00,2025-01-02T15:15+00:00,1735830900000,138.590000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T16:30+01:00,2025-01-02T15:30+00:00,1735831800000,138.590000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T16:45+01:00,2025-01-02T15:45+00:00,1735832700000,138.590000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T17:00+01:00,2025-01-02T16:00+00:00,1735833600000,152.870000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T17:15+01:00,2025-01-02T16:15+00:00,1735834500000,152.870000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T17:30+01:00,2025-01-02T16:30+00:00,1735835400000,152.870000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T17:45+01:00,2025-01-02T16:45+00:00,1735836300000,152.870000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T18:00+01:00,2025-01-02T17:00+00:00,1735837200000,152.940000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T18:15+01:00,2025-01-02T17:15+00:00,1735838100000,152.940000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T18:30+01:00,2025-01-02T17:30+00:00,1735839000000,152.940000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T18:45+01:00,2025-01-02T17:45+00:00,1735839900000,152.940000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T19:00+01:00,2025-01-02T18:00+00:00,1735840800000,139.150000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T19:15+01:00,2025-01-02T18:15+00:00,1735841700000,139.150000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T19:30+01:00,2025-01-02T18:30+00:00,1735842600000,139.150000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T19:45+01:00,2025-01-02T18:45+00:00,1735843500000,139.150000,quarterhour,SMARD day-ahead auction DE/LU
2025-01-02T20:00+01:00,2025-01-02T19:00+00:00,1735844400000,130.000000,quarterhour,SMARD day-ahead auction DE/LU
